STATUS,RETAILER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
active,Alabama Furniture Market,10 Commercial Park Drive,Calera,AL,35040,alabamafurnituremarket.com,,205 668 9995,"At Alabama Furniture Market, we want you to walk in the front door and feel the energy of an open-air market.  We strive to provide you with goods of all sizes, colors, and textures…all with incredible prices.  Come in and get creative! "
inactive,ETCETERAS,7503 Girard Avenue ,La Jolla,CA,92037,shopetceteras.com,etceteraslajolla@gmail.com,858 456 2888,"Etceteras is a shop brimming with an eclectic collection of home and garden decor, antiques and curiosities. The owners enjoy the thrill of the hunt and search the world for unique pieces to fill their store. Charming vignettes and the perfect juxtaposition of vintage and new items make this a destination for design lovers."
inactive,Amelia Presents,1006 Van Buren Avenue,Oxford,MS,38655,ameliapresents.com,erin@ameliapresents.com,901 355 0311,"Amelia is a well curated shop where I strive for a certain aesthetic. With everything from home goods to baby items to handmade jewelry, I am trying to bring you a shop that will keep you coming back to see what’s new."
inactive,At Home,2921 18th Street South,Birmingham,AL,35209,athome_furnishings.com,,205 879 3510,"At Home Furnishings is a unique, privately owned store in the historic Homewood district of Birmingham, Alabama. We have been in business for nineteen years. Our wares are hand picked by the owner and staff to ensure that everyone’s tastes are satisfied. The flea market style makes the shop charming and inviting. Our incredible inventory, from India, China, and Mexico, changes daily. Many people come in on their lunch breaks just to see what’s new. Our greatest pleasure is to help people make their spaces feel comfortable and inviting no matter what their style may be. We make every effort to insure that our prices and quality of product is far and away the best our customers can find. We want the experience at At Home to be something that our customers look back on with extreme satisfaction."
inactive,Atmosphere Home Essentials,224 29th Sreet S Suite 1,Birmingham,AL,35233,atmospherehomessentials.com,,205 324 9687,"In just four short years, Atmosphere Home Essentials has established itself as Birmingham’s most exciting home interiors store. Located at Pepper Place, in the heart of Birmingham’s design district, Atmosphere has become the go to source for award winning modern and contemporary home furnishings and accessories. Never satisfied with maintaining the status quo, Atmosphere is continually evolving, driven by the desire to provide Birmingham with the newest, most innovative designs available today."
inactive,Bella Cucina,1044 North Highland Avenue,Atlanta,GA,30306,bellacucina.com,viriginiahighlands@bellacucina.com,404 815 1826,"In the early nineties, Alisa Barry opened a small café in Atlanta, Georgia called Bella Cucina to share her passion for cooking and her love of Italy. When her loyal customer kept asking for pestos to take home,  an artisan food business was born.  "
active,Beth Quinn Designs,56 S Center,Mesa,AZ,85210,bethquinndesigns.com,,480 277 3597,"Each piece of jewelry is handmade in Beth's studio..  she loves to combine texture to create jewelry that can be loved and cherished for years to come...she also believes in honoring ""she's"" in her life which is how the jewelry was started and why much of the jewelry has the word she in it.. little affirmations to bring women joy in there journey through life and made with bits of sparkle to be worn close to your heart. "
inactive,Bountiful,1335 Abbot Kinney Boulevard,Venice,CA,90291,bountifulhome.com,info@bountifulhome.com,310 450 3620 ,"Comfortably situated in the beach community of Venice, CA, Bountiful is the embodiment of creator, Sue Balmforth's talented eye and charismatic nature. Recognised as the source of the best and most unique blend of American country charm and European elegance, Bountiful attracts a wide range of clients form designers to film studios, to collectors and celebrities, all of whom faithfully turn to Sue foe her knwoledge, style, and enormous inventory of antiques."
inactive,Covet,5140 Wilson Boulevard Suite B,Arlington,VA,22205,covetarlington.com,,703 247 9797,"covet is a kinda tiny, but not too tiny boutique in arlington,va in the bluemont neighborhood on the corner of wilson and frederick. it’s that weird little grey farmhouse that you’ve probably driven by and wondered, “what the?”. what it is IS filled with the cutest, coolest and most thoughtful stuff you’ll find in arlington. think jewelry made in local and national studios by the actual designers, beautifully packaged and modern smelling (yes, modern) candles crafted in an arlington kitchen, children’s accessories made by actual mothers and fathers that want their babies to look kinda cool, a line of vegan leather handbags and accessories from chicago, original art from local, national and international artists in an easy going setting. we have a passion for products that will speak to you – whether it’s a jonathan adler table lamp or a blossom for your ring finger, you will always find something new and something you have not seen before under the roof of our lovely little shop."
inactive,Curious Workshop,128 Pier Avenue,Hermosa Beach,CA,90254,curiousworkshop.com,,310 372 8452,"Curious is a shop with soul, supported by its soundtrack of thoughtfully played music tracks that soothe and gratify its customers. It’s a similar feeling to that customer who just discovered that the 1950’s lamp hanging in the shop window makes a perfect fit for their just completed kitchen nook. Everybody likes to buy something new, but something no one else has? That has LA cool written all over it…"
inactive,Dandelion Boutique,3729 Lexington Road,Louisville,KY,40207,dandelionhome.com,andie@dandelionhome.com,502 899 3729,"Dandelion was created to inspire you. Our focus is to give you a refuge from the ordinary and to delight you with a sophisticated style and reward your sense of humor. We are a full service shop. Our small and personal staff can assist you in finding elements for your home, fabulous gifts for your friends and family, adn even make sure youare dazzling in our wonderful selection of jewelery."
active,Daytrip Society,4 Dock Square ,Kennenbunkport,MN,4046,daytripsociety.com,info@daytripsociety.com,207 967 4440,"A store to inspire people to get out into nature, and bring nature into their lives. Daytrip Society is a destination for those inspired by the romance of nature and the adventure of travel, founded by native Mainers and ardent daytrippers Jessica Jenkins and Andy West."
inactive,Diane's Art Gift & Home,1581 Overton Park,Memphis,TN,38112,dianesartgifthome.com,info@dianesartgifthome.com,901 276 7515,"Inspired by their midtown neighborhood and love of local artists and crafts, they opened in 2002 with the dream of providing a venue for local artists to showcase their work with a mix of eclectic items from around the region. Diane’s creative touches and selective tastes continue to surprise and confirm that surrounding yourself with diverse elements of objet d'art stimulates a sense of place, comfort, and community with those you love. Experience a feast for the senses. We look forward to meeting you!"
inactive,Ekster Antiques,38532 Pheasant Hill Lane,Hamilton,VA,20158,eksterantiques.com,eksterantiques@hotmail.com,540 454 2944,Pure. Natural. Recycled. Reclaimed. Those elements - combined with the Scandinavian aesthetic - define my style. I love a mix of old and new - of antiques and modern. I believe that one piece makes a large statement. And I only sell things that I love. I travel to Europe several times a year to find old and new wares to sell for our sales events.
inactive,Emmaline,400 Main Street,Franklin,TN,37064,emmalineboutique.com,,615 791 6205,"Emmaline is for the modern woman who simply loves to be a girl. Specializing in emerging to established designers, Emmaline has become a destination for that perfect balance of sophistication and understated chic."
inactive,Everything Gardens,2378 Glendale Boulevard,Los Angeles,CA,90039,everythinggardens.com,info@everythinggardens.com,310 343 0741,"everything gardens is a sister-owned landscape and floral studio. we design exterior spaces and florals for delivery, weddings, & events throughout los angeles and santa barbara. "
inactive,Faded Awning Coastal Interiors,7464 Girard Avenue,La Jolla,CA,92037,thefadedawningcoastalinteriors.com,,858 456 7464,"A collection of antique, vintage, and new coastal themed furnishings and accessories, The Faded Awning Coastal Interiors is always evolving with new treasures to discover every day.  Step inside and you will be inspired to create your perfect coastal retreat or French seaside haven."
inactive,Fibre Arts Design,935 Industrial Avenue,Palo Alto,CA,94303,fibreartsdesign.com,shop@fibreartdesign.com,650 646 9227,"Fibre Arts Design Studio, located in Palo Alto, California, is a destination for fine art and the best of design. At our studio you will find:The Gallery: a curated exhibition space that hosts over a dozen exhibitions a year.The Shop: a collection of art and design products from around the world.

"
active,Finch,417 W 2nd Street,Austin,TX,78701,shopfinch.com,info@shopfinch.com,512 238 1414,
inactive,Finch & Thistle,,Seattle,WA,,finchandthistleevents.com,rachel@finchandthistleevents.com,253 225 2152,"Finch & Thistle is a boutique floral and event design studio based in Seattle. We create unique and gorgeous florals for weddings, galas and special events as well as style and design props for events and photo shoots. "
inactive,Forty Five Ten,4510 McKinney Avenue,Dallas,TX,75205,fortyfiveten.com,info@fortyfiveten.com,214 559 4510,"The 8,000 square foot store is set in a beautifully renovated historic building surrounding a central fountain courtyard. It houses a world class mix of the top collections for women, men, and the home, all merchandised with its own distinct point-of-view.  It's acclaimed café, the T Room, has become the chicest lunch spot in the city."
inactive,FOUND,166 W Main Street,Mesa,AZ,85201,foundbydomesticbliss.blogspot.com,foundbydb@me.com,480 733 6863,
active,Frances Vintage,10 W Camelback Road,Phoenix,AZ,85013,francesvintage.com,,602 279 5467,"Hand picked new and vintage women’s clothing, one of a kind gifts, paper goods, baby and kids, jewelry, men’s, home, novelty, and art."
active,Furbish ,312 W Johnson Street,Raleigh,NC,27603,furbishstudio.com,info@furbishstudio.com,919 521 4981,"Furbish offers a curated collection of fabulous finds for the home, including unique pieces of furniture, both old and new, inspired lighting, and modern artwork. The store is stocked with textiles in vibrant patterns and bold combinations, including bedding, pillows, rugs and designer fabrics. Coveted accessories and thoughtful vignettes inspire visitors to decorate their homes with easygoing flair. An eclectic range of gifts, jewelry and clothing fill the store, along with custom dog beds, lust-worthy coffee table books and pieces from Jonathan Adler, Roberta Freymann, Dana Gibson, Bungalow 5, and Robert Abbey."
inactive,Gallery 360 MPLS ,3011 W 50th Street ,Minneapolis,MN,55410,gallery360mpls.com,info@gallery360mpls.com,612 925 2400,"The gallery's tag line ""art in every degree"", sums up the extensive variety of fine art and handmade product available within. While representing traditional art media, such as painting, photography, and sculpture Gallery 360 is also known to take an offbeat approach by offering contemporary art jewelry, locally designed fashions, and multi media window installations. Although the gallery carries investment quality artwork to purchase, affordable, local art is the focus."
inactive,Garden District,5040 Sanderlin Avenue Suite 109,Memphis,TN,38117,gardendistrictmemphis.com,info@gardendistrictmemphis.com,901 761 3277,"At Garden District, we offer you an experience beyond breathtaking and inspiring arrangements. We want to brighten your day and deliver elegance to your home or event. In addition to unique gift and home items, vases, containers, and works of art, we offer a large selection of fresh cut flowers and indoor plants. Seasonal items are also available for your home or business, such as pre-made or custom-designed arrangements, holiday decorations, and wreaths. We serve both corporate and individual clientele. With our diverse selection of high-end and casual garden flowers, we can say yes to almost any floral request, from the single arrangement to the most elaborate event. in addition to our full-service florist shop we also offer unique design and home decor items from around the world. Our staff prides itself on the quality of their products and service and is anxious to assist you."
inactive,Gardenology,587 S Coast Highway 101 ,Encinitas,CA,92024,gardenology.com,sales@gardenology.com,760 753 5500,"A retail store offering alternative vision for garden-style living offering indoor and outdoor furnishings, unique lighting, bedding, and rare objects as well as fine European outdoor furnishings. Gardenology inspires harmony between interior and exterior spaces through a love of garden artifacts and nature."
inactive,GRDN Brooklyn,103 Hoyt Street,Brooklyn ,NY,11217,grdnbkyln.com,info@grdnbkyln.com,718 797 3628,"GRDN is a specialty garden and home store located on Hoyt Street in Boerum Hill, Brooklyn. GRDN offers practical and stylish products for the urban gardener, including containers, garden ornaments, and garden furniture. For the home, there is a selection of ""garden to table"" items including cookbooks, tableware, natural linens, and beeswax candles."
inactive,HAUS Interior,8211 W 3rd Street,Los Angeles,CA,90048,hausinterior.com,info@hausinterior.com,323 951 0151,"HAU interior is a full service interior design firm, offering design and decorating for private residences, showcases, model residences, and commercial space. "
inactive,Haven's Kitchen ,109 W 17th Street,New York,NY,10011,havenskitchen.com,info@havenskitchen.com,212 929 7900,"Haven’s Kitchen is a recreational cooking school, specialty food shop, and event space. Located in a charming carriage house two blocks from Union Square, Haven’s Kitchen is dedicated to the preparation and enjoyment of delicious, sustainable, seasonal food. "
inactive,Home Ec,231 Main Street,Chico,CA,95928,shophomeec.com,christianne@shophomeec.com,530 343 5686,"Make your home happy! When your environment feels good, so do you.  Home Ec brings you fresh, modern pieces mixed with retro-inspired designs to help you create a living space that is uniquely you."
inactive,Honeyshine,414 Penn Ave South,Minneapolis ,MN,,honeyshine.net,daisy@honeyshine.net,612 377 7300,"What is Honeyshine? Objects for the home, gifts for the people in them. We're creating an ever-changing living space away from home where you can buy almost everything you see."
inactive,Howl Interiors,705 S Lamar Suite A,Austin,TX,78704,howlinteriors.com,info@howlinteriors.com,512 291 2123,"Howl Interiors was founded in 2005 by Barry Jelinski in Austin, TX. Barry has a national reputation as a talented up-and-coming decorative artist and provocateur. Howl Interiors combines handcrafted and reinvented home furnishings with classic and modern antiques to create truly inspired decorative environments. The works of Howl range from the small to the big, from the ridiculous to the sublime."
inactive,Hudson,12 Union Park Street,Boston,MA,2118,hudson-boston.com,info@hudsonboston.com,617 292 0900,
inactive,Hudson Home Living,806 E Market Street,Louisville,KY,40206,hudsonhomeliving.com,info@hudsonhomeliving.com,502 384 4977,"We offer a full range of residential interior design services; the complete collection of eco-chic furniture from Cisco Brothers; an ever-changing selection of lamps, accessories, original art work, and antiques."
inactive,Isabella Style,715 Providence Road ,Charlotte,NC,28207,isabellastyle.com,erin@isabellastyle.com,704 377 4919,"Isabella is a home furnishings boutique and design studio specializing in fine bedding and bath linens. Owned and curated by Erin Dougherty, the store is continuously stocked with a hand-picked selection of bedding, lighting, throw pillows, gifts and accessories. Isabella offers a tranquil, inviting atmosphere where you can shop, place custom orders and get professional advice from in-house designers."
inactive,Jimtown,6706 Highway 128,Healdsburg,CA,95448,jimtown.com,jimtown@jimtown.com,707 433 1212,"Welcome to Jimtown Store! We’re a country store and cafe with a wider worldview, a Sonoma County landmark nestled in the vineyards of the Alexander Valley, one of Northern California’s premium wine appellations. "
inactive,Juxtaposition Home,7976 E Coast Highway,Newport Coast,CA,92657,juxtapositionhome.com,info@juxtapostiionhome.com,949 715 1181,"""Where vintage industrial, crisp linen, and found objects are not strange bedfellows."""
inactive,Karen Harlow For the Home,74939 Highway 111,Indian Wells,CA,92210,karenharlowforthehome.com,,760 674 4663,
inactive,Knack Studio,11 Lois Avenue,Greenville,SC,29615,knackstudios.com,,864 269 0169,"Knack is a working studio where I store, design, and produce all of my furniture pieces. At any given time you will find paint cans, sanding blocks, paint brushes, paper, hardware, and who knows what else decorating the space. I am happy to take visitors by appointment at the studio, and my finished work can be purchased online through my etsy shop or locally through Antiques on Augusta."
inactive,Laurie’s Home Furnishings,10730 FM 2920,Tomball,TX,77375,laurieshomefurnishings.com,sales@laurieshomefurnishings.com,281 290 9565,"Lauries Home Furnishings 23,000 foot retail store is located near quaint Tomball, Texas. A one-stop destination store sure to become a favorite. Opened in September 2002 the store has experienced phenomenal growth. Most recently Laurie added luxury bath/body items and candles to an already astonishing collection of “niche” furniture, lighting, rugs, wall art and accessories."
inactive,Little Luxuries of Mackinac Island ,7372-107 Main Street PO Box 1953,Mackinac Island,MI,,littleluxuriesofmackinac.com,info@littleluxuriesofmackinac.com,906 847 9980,"Little Luxuries of Mackinac Island is a little gift shop located in Northern Michigan where cars are forbidden and the small island still to this day, remains a Victorian community. Here, at Little Luxuries, we love color, pattern, inspiration, and simple delights that warm your heart and home."
inactive,Loopy Mango ,78 Grand Street,New York,NY,10013,loopymango.com,loopymango@yahoo.com,212 343 7425,"Loopy Mango is a boutique where anyone can find anything; a space for exploring; a place for creating; and an experience for everyone. Loopy Mango features a curated collection that ranges from home goods and furniture to antiques and textiles, gifts and specialty yarns. The owners will welcome you to a treasure chest of trinkets and discoveries; the ultimate goal is to combine old and new to create something truly timeless. "
inactive,Lori McLean ,49 Grove Street,New York,NY,10014,,,212 242 3204,"Lori McLean's bright and cheerful boutique is filled with modern jewelry, vintage collections, and home decor.  Not only are the carefully curated pieces hard to find elsewhere, but the excitement exuded from Lori herself and her friendly staff is contagious and makes you want to try on every ring, necklace, and bracelet in the store."
active,"Love, Adorned",269 Elizabeth Street,New York,NY,10012,loveadorned.com,love@loveadorned.com,212 431 5683,"Love Adorned – a lifestyle concept store from New York Adorned’s Lori Leven – expands beyond fine jewelry to include smart tools for home, body and travel. The shop’s lovingly curated inventory addresses the shift away from ‘throw away culture’ with lasting solutions that bring ease and preserve beauty in our busy lives. For where strength exists in design and simplicity, it also is expressed through craftsmanship and quality; all key elements in the shop’s offerings."
active,Lucy's Market,102 W Paces Ferry Road,Atlanta,GA,30305,lucysmarket.com,info@lucysmarket.com,404 869 9222,"Located in the heart of Buckhead, Lucy’s Market is an unexpected year-round farmer's market and speciality store. We offer fresh produce, deliciously prepared meals and soups, breads, sweets, jams, local gourmet pickled items, cheese straws, cookies, cakes, fabulous hostess gifts and so much more. Lucy's always has the perfect seasonal items and décor; such as holiday boxwood wreaths, fall fairytale pumpkins, unique hand painted wooden pallet American flags and beautiful seasonal flowers and potted plants. Don't forget to check out our signature gift baskets, put together just for you. Big city offerings and small town service sets Lucy's Market apart from the hustle and bustle of Atlanta."
inactive,Marigold and Mint,1531 Melrose Avenue,Seattle,WA,98122,marigoldandmint.com,info@marigoldandmint.com,206 682 3111,"Marigold and Mint is an organic farm, a retail shop and a studio. We grow two acres of flowers and edibles, as well as harvest responsibly from our orchard, woodland and berry patches. We sell and deliver to florists, individuals and businesses, and, in the studio, make things such as marigold garlands, notepads, and driftwood sailboats."
inactive,Mash Handmade ,"3900A Pennsylvania
 ",Kansas City,MO,64111,mashhandmade.com,,816 960 7000," Mash Handmade is a brick and mortar shop in Kansas City specializing in handmade goods for the home. Working with over 30 artists, some local, some not, we bring a unique and constantly changing collection of work under one roof. To be able to send our customers home not just with an object that is thoughtfully created and well crafted, but with a little nugget of information about where it came from and who made, it is what makes our days."
active,Mercury Design Studio,209 West 2nd Street,Austin,TX,78701,mercurydesignstudio.com,info@mercurydesignstudio.com,512 236 0100,"mercury design studio is a design destination for discovering something new, uncovering something old, and finding inspiration to continue your style evolution."
inactive,Nest Modern,1009 West Sixth Street,Austin,TX,78703,nestmodern.com,,512 637 0600,"Like the Modern movement that forms our collections, we offer progressive yet iconoclastic designs. Whether you are a Modern aficionado or a neophyte, you will feel at home. Whether you are looking for sleek chrome-and-glass or softer elements, you will find a plethora of options. We choose manufacturers who understand the architecture of furniture and who demonstrate unswerving commitment to the highest quality."
inactive,Nest Paper Studios,265 N Lamar Boulevard Suite P,Oxford ,MS,38655,nestpaperstudio.com,kara@nestpaperstudio.com,662 281 8808 ,"A fine stationer specializing in stationary and custom invitations. Wedding day and party accoutrements, fine gifts, greeting cards. "
active,Nest San Francisco,2300 Fillmore Street,San Francisco,CA,94115,nestsf.com,,415 292 6199,
inactive,New Stone Age,8407 West Third Street,Los Angeles,CA,90048,newstoneagela.com,frannie@newstoneagela.com,323 658 5969,"New Stone Age has an eclectic combination of contemporary hand made jewelry, clothing, books and treasure from around the world. "
active,On Paper,737 N High Street,Columbus,OH,43215,onpaper.com,,614 424 6617,"On Paper is many things: a brick and mortar (literally!) retail shop, a full service custom stationer and a web store. With an exceptionally dedicated staff, we specialize in high quality products and service that distinguish us a true specialty shop. In addition to name brand luxury goods we buy unique and handmade merchandise and strive to support small businesses, cottage industries and individual artists."
inactive,Orange Beautiful,4658 North Damen Avenue ,Chicago,IL,60625,www.orangebeautiful.com,,773 975 3570,"Current offerings include stationery, design goods + accessories from an array of local and independent designers (including OrangeBeautiful's cards + prints, of course!)... and, you can even view our chaotic-yet-productive workspace while you shop!"
inactive,Paris on Ponce,716 Ponce de Leon NE,Atlanta,GA,30306,parisonponce.com,info@parisonponce.com,404 249 9965,"Over the last 15 years, Paris on Ponce has become Atlanta’s favorite bohemian destination. Perched high on a hill overlooking Ponce de Leon Avenue, the iconic orange building is both landmark and wonderland. Sprawling over 46,000 square feet are three closely linked entities showcasing art, antiques, furnishings, ateliers, boutiques, and oddities– room after room of surprise and delight. Walk through the courtyard parking area past large murals both contemporary and traditional and enter the main showrooms of Paris on Ponce. Here you’ll find a range of home furnishings and antiques for every need and budget. From vintage Americana to French candelabra, Paris on Ponce balances over the top with under the radar. There are superb bargains side-by-side with genuine investment pieces, in a constantly updated and unfolding series of quirky vignettes and elegant room settings. "
active,Patina Green,116 N Tennessee Suite 102,McKinney,TX,75069,patinagreenhomeandmarket.com,hello@patinagreenhomeandmarket.com,972 548 9141,"At Patina Green Home, things have a story and a soul! For nearly five years, we’ve been collecting vintage home accessories that not only inspire, but also fill rooms with life and beauty.Our lunch counter serves food with integrity. The menu is evolving daily, we use meticulous preparations, and we stress the importance of sustainability and seasonality."
inactive,Pearson & Company,16939 Wright Plaza Suite 143 ,Omaha,NE,68130,pearsonandcompanyomaha.com,nancy@pearsonandcompany.com,402.932.5999,Nancy and her team hunt for unique finds and vintage pieces from across the country that will set your home apart from the others. At Pearson & Company you will find
active,Perch Home ,"9 Highland Place 
",Maplewood,NJ,68130,perchhome.com,shop@perchhome.com,973 821 4852,"Perch Home is a retail boutique tucked away on Highland Place in Maplewood, NJ. The store is filled with vintage inspired pieces curated to have a modern feel. Gifts and home décor are mixed with found objects: one-of-a-kind painted cabinets, vintage pottery, and architectural salvage. Lighting, jewelry, letter pressed greeting cards, soy candles, French hand cream, fine linens and more fill each nook and cranny of the shop. Enjoy urban farmhouse living...in Maplewood Village."
inactive,Pinch Gallery ,179 Main Street,Northampton,MA,,pinchgallery.com,info@pinchgallery.com,413 586 4509,"Pinch is a vibrant, eclectic artisan gallery with a focus on art for the home and art to wear. Founded in 1979 by three potters, Pinch has a long history as a showcase for well-known and emerging ceramic artists"
inactive,Pizitz Home and Cottage,121 Central Square,Seaside,FL,32459,pizitzhomeandcottage.com,info@pizitzhomeandcottage.com,850 231 2240,"The store offers a beautiful selection of slip covered sofas and chairs, bleached dining and occasional tables, striking lamps, luxurious bedding and a varied assortment of coffee table books, candles, platters, and original artwork."
inactive,Pom Pom Interiors,2601 N San Francisco Boulevard,Burbank,CA,91504,pompominteriors.com,info@pompominteriors.com,818 847 0155,Pom Pom Interiors has been located in Los Angeles for the past 20 years. They have three retail locations and their own wholesale bedding company.They provide a breathtaking collection of elegant and unique home furnishings.
inactive,Pot + Pantry,"593 Guerrero Street @ 18th
",San Francisco,CA,94110,potandpantry.com,info@potandpantry.com,415 206 1134,"Pot + Pantry is a small kitchen boutique in the Mission neighborhood of San Francisco. We specialize in new and gently used kitchenware, including products from Le Creuset, Calphalon and WMF. We also carry a small assortment of food products from local artisans."
inactive,Potted ,3158 Los Feliz Boulevard,Los Angeles,CA,90039,pottedstore.com,info@pottedstore.com,323 665 3801,"At Potted, we create an eclectic environment filled with an array of styles, from kitsch to cottage and vintage to modern. Each have their own special personalities, and we get a huge kick out of blending them all together in our own Potted Style."
active,Pretty Funny Vintage,80 South B’way,Tarrytown,NY,,prettyfinnyvintage.com,Stephanie@prettyfunnyvintage.com,914 631 3368,"Pretty Funny Vintage is a shop located in Tarrytown, NY. We take a bunch of road trips up and down the east coast to search out comfortable, casual and slightly off-beat antiques. Our inventory includes home furnishings, vintage clothing and jewelry, folk art, industrial elements, lighting, textiles, gifts and a whole slew of curious goods..."
active,Prize Antiques,4725 Wyandotte,Kansas City,MO,,prizeantiques.com,sales@prizeantiques.com,816 960 4959,"Prize is located on the historical Kansas City Country Club Plaza along with Peruvian Connection, which carries its own line of artisan made apparel. Together the collections, character and look is dynamic, as it constantly changes moods with every new find. Prize is a refreshing departure from overly mass-produced décor and has mastered the art of procuring past relics and reinterpreting them with a modern and relevant perspective.Steve Rogers, the force and influence behind Prize, is a consummate treasure hunter who has fashioned Prize into an amazing selection of one-of-a-kind pieces that are scouted found from all over the word. Every piece has its own soul and Prize only stocks what is pleasing to the eye and joyful to the heart.Prize has been a source for retailers like Ralph Lauren and shelter magazines like Country Living and Elle Decor. Items may also be leased for photo shoots and events. "
active,Puckett’s Grocery & Restaurant ,120 Fourth Avenue South,Franklin,TN,37064,www.puckettsgrocery.com,,615 794 5527,"Puckett’s Grocery & Restaurant, with locations in Franklin and Leiper’s Fork, Tennessee, is more than just a place to enjoy a good meal – both are popular destinations for locals and tourists alike. With mismatched tables and chairs and an eclectic clientele of farmers, songwriters, and country music stars, it’s a restaurant serving up a dining experience unlike any other."
inactive,Relics Home,1292 North First Street,Abilene,TX,79601,relicshome.com,friends@relicshome.com,325 670 9282,"The 12,000 square foot show room is filled with an eclectic mix of traditional and contemporary, rustic and luxurious, sophisticated and fun furnishings and accessories. But Relics is so much more than a furniture retailer. The in-house design center has hundreds of upholstery and drapery fabric samples, rug samples, and a library of sources for fine furniture, upholstery, lighting, art, and unexpected accents of all styles, bringing both amateur decorators and professional designers a world of shopping options without having to leave Abilene. And Relics’ in-house style experts are available to help shoppers create a complete, one-of-a-kind look for any room!"
active,Reverie Fine Linens,4615 Poplar Ave #17,Memphis,TN,38117,reveriefinelinens.com,,901 767 4400,"Reverie Fine Linens remains true to it's roots as an upscale bed, bath and home accessories store, recently expanding nursery selections and adding a children's bedding department. "
inactive,Rock Paper Scissors,317 Main Street Suite110,Franklin,TN,37064,rockpaperscissor.com,info@rockpaperscissor.com,615 791 0150,Bringing New York style to Tennessee in the form of a chic stationary shop. As far as gifts go... anything paper is perfect!
inactive,Scarlett Scales Antiques,246 Second Avenue South,Franklin,TN,37064,scarlettscales.com,scarlett@scarlettscales.com,615 791 4097,"You never know what you might find. We have pieces ranging from vintage Lucite lamps to stone top iron console tables made from old balustrade pieces, or an empire game table clad with zinc. We are far from the stereotypical antiques shop. There is a very good chance you will not find a Gone With the Wind lamp here nor any depression glass. We are an antiques boutique with numerous one of a kind vintage, antique, and new items."
